,_id,Initial_Year,Initial_Month,Forecast_Year,Foreast_Month,Province_ID,Province_NameTH,Rainfall.mm.,Province
3162,3163,2023,7,2023,12,15,จ.อ่างทอง,7.329289282,อ่างทอง
3163,3164,2023,7,2023,12,16,จ.ลพบุรี,0.938008077,ลพบุรี
3164,3165,2023,7,2023,12,17,จ.สิงห์บุรี,2.878299715,สิงห์บุรี
3165,3166,2023,7,2023,12,18,จ.ชัยนาท,1.315933491,ชัยนาท
3166,3167,2023,7,2023,12,19,จ.สระบุรี,3.738375344,สระบุรี
3171,3172,2023,7,2023,12,24,จ.ฉะเชิงเทรา,10.41501275,ฉะเชิงเทรา
3173,3174,2023,7,2023,12,26,จ.นครนายก,3.164648439,นครนายก
3212,3213,2023,7,2023,12,70,จ.ราชบุรี,2.718044784,ราชบุรี
3214,3215,2023,7,2023,12,72,จ.สุพรรณบุรี,6.262733293,สุพรรณบุรี
3215,3216,2023,7,2023,12,73,จ.นครปฐม,3.848591387,นครปฐม
3216,3217,2023,7,2023,12,74,จ.สมุทรสาคร,8.502724745,สมุทรสาคร
3217,3218,2023,7,2023,12,75,จ.สมุทรสงคราม,4.926144923,สมุทรสงคราม
3218,3219,2023,7,2023,12,76,จ.เพชรบุรี,8.017179835,เพชรบุรี
3234,3235,2023,8,2023,8,10,กรุงเทพมหานคร,146.2998241,กรุงเทพมหานคร
3235,3236,2023,8,2023,8,11,จ.สมุทรปราการ,162.8922999,สมุทรปราการ
3236,3237,2023,8,2023,8,12,จ.นนทบุรี,131.7257599,นนทบุรี
3237,3238,2023,8,2023,8,13,จ.ปทุมธานี,138.2054338,ปทุมธานี
3238,3239,2023,8,2023,8,14,จ.พระนครศรีอยุธยา,116.881324,พระนครศรีอยุธยา
3239,3240,2023,8,2023,8,15,จ.อ่างทอง,89.61110966,อ่างทอง
3240,3241,2023,8,2023,8,16,จ.ลพบุรี,133.1575105,ลพบุรี
3241,3242,2023,8,2023,8,17,จ.สิงห์บุรี,88.93737752,สิงห์บุรี
3242,3243,2023,8,2023,8,18,จ.ชัยนาท,91.50720669,ชัยนาท
3243,3244,2023,8,2023,8,19,จ.สระบุรี,114.3636955,สระบุรี
3248,3249,2023,8,2023,8,24,จ.ฉะเชิงเทรา,173.9053721,ฉะเชิงเทรา
3250,3251,2023,8,2023,8,26,จ.นครนายก,174.2902849,นครนายก
3289,3290,2023,8,2023,8,70,จ.ราชบุรี,63.58694135,ราชบุรี
3291,3292,2023,8,2023,8,72,จ.สุพรรณบุรี,94.5347805,สุพรรณบุรี
3292,3293,2023,8,2023,8,73,จ.นครปฐม,110.5713135,นครปฐม
3293,3294,2023,8,2023,8,74,จ.สมุทรสาคร,129.4234856,สมุทรสาคร
3294,3295,2023,8,2023,8,75,จ.สมุทรสงคราม,67.11950729,สมุทรสงคราม
3295,3296,2023,8,2023,8,76,จ.เพชรบุรี,99.13540094,เพชรบุรี
3311,3312,2023,8,2023,9,10,กรุงเทพมหานคร,359.8683038,กรุงเทพมหานคร
3312,3313,2023,8,2023,9,11,จ.สมุทรปราการ,336.9566327,สมุทรปราการ
3313,3314,2023,8,2023,9,12,จ.นนทบุรี,323.4897001,นนทบุรี
3314,3315,2023,8,2023,9,13,จ.ปทุมธานี,257.1813646,ปทุมธานี
3315,3316,2023,8,2023,9,14,จ.พระนครศรีอยุธยา,167.7593426,พระนครศรีอยุธยา
3316,3317,2023,8,2023,9,15,จ.อ่างทอง,140.870162,อ่างทอง
3317,3318,2023,8,2023,9,16,จ.ลพบุรี,178.1375345,ลพบุรี
3318,3319,2023,8,2023,9,17,จ.สิงห์บุรี,155.9275073,สิงห์บุรี
3319,3320,2023,8,2023,9,18,จ.ชัยนาท,171.1003988,ชัยนาท
3320,3321,2023,8,2023,9,19,จ.สระบุรี,136.6184741,สระบุรี
3325,3326,2023,8,2023,9,24,จ.ฉะเชิงเทรา,198.1129793,ฉะเชิงเทรา
3327,3328,2023,8,2023,9,26,จ.นครนายก,175.9660939,นครนายก
3366,3367,2023,8,2023,9,70,จ.ราชบุรี,242.1317059,ราชบุรี
3368,3369,2023,8,2023,9,72,จ.สุพรรณบุรี,161.1531923,สุพรรณบุรี
3369,3370,2023,8,2023,9,73,จ.นครปฐม,267.8754445,นครปฐม
3370,3371,2023,8,2023,9,74,จ.สมุทรสาคร,335.3764732,สมุทรสาคร
3371,3372,2023,8,2023,9,75,จ.สมุทรสงคราม,277.7440289,สมุทรสงคราม
3372,3373,2023,8,2023,9,76,จ.เพชรบุรี,176.0546556,เพชรบุรี
3388,3389,2023,8,2023,10,10,กรุงเทพมหานคร,396.8567074,กรุงเทพมหานคร
3389,3390,2023,8,2023,10,11,จ.สมุทรปราการ,393.5737104,สมุทรปราการ
3390,3391,2023,8,2023,10,12,จ.นนทบุรี,358.3823837,นนทบุรี
3391,3392,2023,8,2023,10,13,จ.ปทุมธานี,277.5667276,ปทุมธานี
3392,3393,2023,8,2023,10,14,จ.พระนครศรีอยุธยา,194.3838922,พระนครศรีอยุธยา
3393,3394,2023,8,2023,10,15,จ.อ่างทอง,179.9943517,อ่างทอง
3394,3395,2023,8,2023,10,16,จ.ลพบุรี,140.7245236,ลพบุรี
3395,3396,2023,8,2023,10,17,จ.สิงห์บุรี,150.6531122,สิงห์บุรี
3396,3397,2023,8,2023,10,18,จ.ชัยนาท,136.8236389,ชัยนาท
3397,3398,2023,8,2023,10,19,จ.สระบุรี,139.5098706,สระบุรี
3402,3403,2023,8,2023,10,24,จ.ฉะเชิงเทรา,208.6601762,ฉะเชิงเทรา
3404,3405,2023,8,2023,10,26,จ.นครนายก,206.258806,นครนายก
3443,3444,2023,8,2023,10,70,จ.ราชบุรี,293.832066,ราชบุรี
3445,3446,2023,8,2023,10,72,จ.สุพรรณบุรี,236.2996933,สุพรรณบุรี
3446,3447,2023,8,2023,10,73,จ.นครปฐม,343.5813248,นครปฐม
3447,3448,2023,8,2023,10,74,จ.สมุทรสาคร,392.5244261,สมุทรสาคร
3448,3449,2023,8,2023,10,75,จ.สมุทรสงคราม,320.4849275,สมุทรสงคราม
3449,3450,2023,8,2023,10,76,จ.เพชรบุรี,302.2282036,เพชรบุรี
3465,3466,2023,8,2023,11,10,กรุงเทพมหานคร,42.1324217,กรุงเทพมหานคร
3466,3467,2023,8,2023,11,11,จ.สมุทรปราการ,58.77719189,สมุทรปราการ
3467,3468,2023,8,2023,11,12,จ.นนทบุรี,34.90594741,นนทบุรี
3468,3469,2023,8,2023,11,13,จ.ปทุมธานี,38.32341478,ปทุมธานี
3469,3470,2023,8,2023,11,14,จ.พระนครศรีอยุธยา,28.13745544,พระนครศรีอยุธยา
3470,3471,2023,8,2023,11,15,จ.อ่างทอง,22.69693269,อ่างทอง
3471,3472,2023,8,2023,11,16,จ.ลพบุรี,8.804398755,ลพบุรี
3472,3473,2023,8,2023,11,17,จ.สิงห์บุรี,11.21920749,สิงห์บุรี
3473,3474,2023,8,2023,11,18,จ.ชัยนาท,6.387396681,ชัยนาท
3474,3475,2023,8,2023,11,19,จ.สระบุรี,10.18483311,สระบุรี
3479,3480,2023,8,2023,11,24,จ.ฉะเชิงเทรา,23.13199399,ฉะเชิงเทรา
3481,3482,2023,8,2023,11,26,จ.นครนายก,12.87692522,นครนายก
3520,3521,2023,8,2023,11,70,จ.ราชบุรี,25.77643351,ราชบุรี
3522,3523,2023,8,2023,11,72,จ.สุพรรณบุรี,24.85209353,สุพรรณบุรี
3523,3524,2023,8,2023,11,73,จ.นครปฐม,35.53930685,นครปฐม
3524,3525,2023,8,2023,11,74,จ.สมุทรสาคร,39.95199167,สมุทรสาคร
3525,3526,2023,8,2023,11,75,จ.สมุทรสงคราม,26.15086952,สมุทรสงคราม
3526,3527,2023,8,2023,11,76,จ.เพชรบุรี,24.28122811,เพชรบุรี
3542,3543,2023,8,2023,12,10,กรุงเทพมหานคร,9.181886939,กรุงเทพมหานคร
3543,3544,2023,8,2023,12,11,จ.สมุทรปราการ,9.562096572,สมุทรปราการ
3544,3545,2023,8,2023,12,12,จ.นนทบุรี,6.787504686,นนทบุรี
3545,3546,2023,8,2023,12,13,จ.ปทุมธานี,3.935820194,ปทุมธานี
3546,3547,2023,8,2023,12,14,จ.พระนครศรีอยุธยา,5.981812207,พระนครศรีอยุธยา
3547,3548,2023,8,2023,12,15,จ.อ่างทอง,7.329289282,อ่างทอง
3548,3549,2023,8,2023,12,16,จ.ลพบุรี,0.938008077,ลพบุรี
3549,3550,2023,8,2023,12,17,จ.สิงห์บุรี,2.878299715,สิงห์บุรี
3550,3551,2023,8,2023,12,18,จ.ชัยนาท,1.315933491,ชัยนาท
3551,3552,2023,8,2023,12,19,จ.สระบุรี,3.738375344,สระบุรี
3556,3557,2023,8,2023,12,24,จ.ฉะเชิงเทรา,10.41501275,ฉะเชิงเทรา
3558,3559,2023,8,2023,12,26,จ.นครนายก,3.164648439,นครนายก
3597,3598,2023,8,2023,12,70,จ.ราชบุรี,2.718044784,ราชบุรี
3599,3600,2023,8,2023,12,72,จ.สุพรรณบุรี,6.262733293,สุพรรณบุรี
3600,3601,2023,8,2023,12,73,จ.นครปฐม,3.848591387,นครปฐม
3601,3602,2023,8,2023,12,74,จ.สมุทรสาคร,8.502724745,สมุทรสาคร
3602,3603,2023,8,2023,12,75,จ.สมุทรสงคราม,4.926144923,สมุทรสงคราม
3603,3604,2023,8,2023,12,76,จ.เพชรบุรี,8.017179835,เพชรบุรี
3619,3620,2023,8,2024,1,10,กรุงเทพมหานคร,1.291359817,กรุงเทพมหานคร
3620,3621,2023,8,2024,1,11,จ.สมุทรปราการ,6.111817032,สมุทรปราการ
3621,3622,2023,8,2024,1,12,จ.นนทบุรี,0.120919325,นนทบุรี
3622,3623,2023,8,2024,1,13,จ.ปทุมธานี,2.355449523,ปทุมธานี
3623,3624,2023,8,2024,1,14,จ.พระนครศรีอยุธยา,16.02084506,พระนครศรีอยุธยา
3624,3625,2023,8,2024,1,15,จ.อ่างทอง,13.14105985,อ่างทอง
3625,3626,2023,8,2024,1,16,จ.ลพบุรี,12.14219755,ลพบุรี
3626,3627,2023,8,2024,1,17,จ.สิงห์บุรี,14.0022046,สิงห์บุรี
3627,3628,2023,8,2024,1,18,จ.ชัยนาท,11.14867458,ชัยนาท
3628,3629,2023,8,2024,1,19,จ.สระบุรี,18.27636919,สระบุรี
3633,3634,2023,8,2024,1,24,จ.ฉะเชิงเทรา,6.213241363,ฉะเชิงเทรา
3635,3636,2023,8,2024,1,26,จ.นครนายก,7.600452012,นครนายก
3674,3675,2023,8,2024,1,70,จ.ราชบุรี,0.05956602,ราชบุรี
3676,3677,2023,8,2024,1,72,จ.สุพรรณบุรี,3.095521729,สุพรรณบุรี
3677,3678,2023,8,2024,1,73,จ.นครปฐม,0.08294578,นครปฐม
3678,3679,2023,8,2024,1,74,จ.สมุทรสาคร,4.362060859,สมุทรสาคร
3679,3680,2023,8,2024,1,75,จ.สมุทรสงคราม,1.918898552,สมุทรสงคราม
3680,3681,2023,8,2024,1,76,จ.เพชรบุรี,0.709410277,เพชรบุรี
3696,3697,2023,9,2023,9,10,กรุงเทพมหานคร,359.8683038,กรุงเทพมหานคร
3697,3698,2023,9,2023,9,11,จ.สมุทรปราการ,336.9566327,สมุทรปราการ
3698,3699,2023,9,2023,9,12,จ.นนทบุรี,323.4897001,นนทบุรี
3699,3700,2023,9,2023,9,13,จ.ปทุมธานี,257.1813646,ปทุมธานี
3700,3701,2023,9,2023,9,14,จ.พระนครศรีอยุธยา,167.7593426,พระนครศรีอยุธยา
3701,3702,2023,9,2023,9,15,จ.อ่างทอง,140.870162,อ่างทอง
3702,3703,2023,9,2023,9,16,จ.ลพบุรี,178.1375345,ลพบุรี
3703,3704,2023,9,2023,9,17,จ.สิงห์บุรี,155.9275073,สิงห์บุรี
3704,3705,2023,9,2023,9,18,จ.ชัยนาท,171.1003988,ชัยนาท
3705,3706,2023,9,2023,9,19,จ.สระบุรี,136.6184741,สระบุรี
3710,3711,2023,9,2023,9,24,จ.ฉะเชิงเทรา,198.1129793,ฉะเชิงเทรา
3712,3713,2023,9,2023,9,26,จ.นครนายก,175.9660939,นครนายก
3751,3752,2023,9,2023,9,70,จ.ราชบุรี,242.1317059,ราชบุรี
3753,3754,2023,9,2023,9,72,จ.สุพรรณบุรี,161.1531923,สุพรรณบุรี
3754,3755,2023,9,2023,9,73,จ.นครปฐม,267.8754445,นครปฐม
3755,3756,2023,9,2023,9,74,จ.สมุทรสาคร,335.3764732,สมุทรสาคร
3756,3757,2023,9,2023,9,75,จ.สมุทรสงคราม,277.7440289,สมุทรสงคราม
3757,3758,2023,9,2023,9,76,จ.เพชรบุรี,176.0546556,เพชรบุรี
3773,3774,2023,9,2023,10,10,กรุงเทพมหานคร,396.8567074,กรุงเทพมหานคร
3774,3775,2023,9,2023,10,11,จ.สมุทรปราการ,393.5737104,สมุทรปราการ
3775,3776,2023,9,2023,10,12,จ.นนทบุรี,358.3823837,นนทบุรี
3776,3777,2023,9,2023,10,13,จ.ปทุมธานี,277.5667276,ปทุมธานี
3777,3778,2023,9,2023,10,14,จ.พระนครศรีอยุธยา,194.3838922,พระนครศรีอยุธยา
3778,3779,2023,9,2023,10,15,จ.อ่างทอง,179.9943517,อ่างทอง
3779,3780,2023,9,2023,10,16,จ.ลพบุรี,140.7245236,ลพบุรี
3780,3781,2023,9,2023,10,17,จ.สิงห์บุรี,150.6531122,สิงห์บุรี
3781,3782,2023,9,2023,10,18,จ.ชัยนาท,136.8236389,ชัยนาท
3782,3783,2023,9,2023,10,19,จ.สระบุรี,139.5098706,สระบุรี
3787,3788,2023,9,2023,10,24,จ.ฉะเชิงเทรา,208.6601762,ฉะเชิงเทรา
3789,3790,2023,9,2023,10,26,จ.นครนายก,206.258806,นครนายก
3828,3829,2023,9,2023,10,70,จ.ราชบุรี,293.832066,ราชบุรี
3830,3831,2023,9,2023,10,72,จ.สุพรรณบุรี,236.2996933,สุพรรณบุรี
3831,3832,2023,9,2023,10,73,จ.นครปฐม,343.5813248,นครปฐม
3832,3833,2023,9,2023,10,74,จ.สมุทรสาคร,392.5244261,สมุทรสาคร
3833,3834,2023,9,2023,10,75,จ.สมุทรสงคราม,320.4849275,สมุทรสงคราม
3834,3835,2023,9,2023,10,76,จ.เพชรบุรี,302.2282036,เพชรบุรี
3850,3851,2023,9,2023,11,10,กรุงเทพมหานคร,42.1324217,กรุงเทพมหานคร
3851,3852,2023,9,2023,11,11,จ.สมุทรปราการ,58.77719189,สมุทรปราการ
3852,3853,2023,9,2023,11,12,จ.นนทบุรี,34.90594741,นนทบุรี
3853,3854,2023,9,2023,11,13,จ.ปทุมธานี,38.32341478,ปทุมธานี
3854,3855,2023,9,2023,11,14,จ.พระนครศรีอยุธยา,28.13745544,พระนครศรีอยุธยา
3855,3856,2023,9,2023,11,15,จ.อ่างทอง,22.69693269,อ่างทอง
3856,3857,2023,9,2023,11,16,จ.ลพบุรี,8.804398755,ลพบุรี
3857,3858,2023,9,2023,11,17,จ.สิงห์บุรี,11.21920749,สิงห์บุรี
3858,3859,2023,9,2023,11,18,จ.ชัยนาท,6.387396681,ชัยนาท
3859,3860,2023,9,2023,11,19,จ.สระบุรี,10.18483311,สระบุรี
3864,3865,2023,9,2023,11,24,จ.ฉะเชิงเทรา,23.13199399,ฉะเชิงเทรา
3866,3867,2023,9,2023,11,26,จ.นครนายก,12.87692522,นครนายก
3905,3906,2023,9,2023,11,70,จ.ราชบุรี,25.77643351,ราชบุรี
3907,3908,2023,9,2023,11,72,จ.สุพรรณบุรี,24.85209353,สุพรรณบุรี
3908,3909,2023,9,2023,11,73,จ.นครปฐม,35.53930685,นครปฐม
3909,3910,2023,9,2023,11,74,จ.สมุทรสาคร,39.95199167,สมุทรสาคร
3910,3911,2023,9,2023,11,75,จ.สมุทรสงคราม,26.15086952,สมุทรสงคราม
3911,3912,2023,9,2023,11,76,จ.เพชรบุรี,24.28122811,เพชรบุรี
3927,3928,2023,9,2023,12,10,กรุงเทพมหานคร,9.181886939,กรุงเทพมหานคร
3928,3929,2023,9,2023,12,11,จ.สมุทรปราการ,9.562096572,สมุทรปราการ
3929,3930,2023,9,2023,12,12,จ.นนทบุรี,6.787504686,นนทบุรี
3930,3931,2023,9,2023,12,13,จ.ปทุมธานี,3.935820194,ปทุมธานี
3931,3932,2023,9,2023,12,14,จ.พระนครศรีอยุธยา,5.981812207,พระนครศรีอยุธยา
3932,3933,2023,9,2023,12,15,จ.อ่างทอง,7.329289282,อ่างทอง
3933,3934,2023,9,2023,12,16,จ.ลพบุรี,0.938008077,ลพบุรี
3934,3935,2023,9,2023,12,17,จ.สิงห์บุรี,2.878299715,สิงห์บุรี
3935,3936,2023,9,2023,12,18,จ.ชัยนาท,1.315933491,ชัยนาท
3936,3937,2023,9,2023,12,19,จ.สระบุรี,3.738375344,สระบุรี
3941,3942,2023,9,2023,12,24,จ.ฉะเชิงเทรา,10.41501275,ฉะเชิงเทรา
3943,3944,2023,9,2023,12,26,จ.นครนายก,3.164648439,นครนายก
3982,3983,2023,9,2023,12,70,จ.ราชบุรี,2.718044784,ราชบุรี
3984,3985,2023,9,2023,12,72,จ.สุพรรณบุรี,6.262733293,สุพรรณบุรี
3985,3986,2023,9,2023,12,73,จ.นครปฐม,3.848591387,นครปฐม
3986,3987,2023,9,2023,12,74,จ.สมุทรสาคร,8.502724745,สมุทรสาคร
3987,3988,2023,9,2023,12,75,จ.สมุทรสงคราม,4.926144923,สมุทรสงคราม
3988,3989,2023,9,2023,12,76,จ.เพชรบุรี,8.017179835,เพชรบุรี
4004,4005,2023,9,2024,1,10,กรุงเทพมหานคร,1.291359817,กรุงเทพมหานคร
4005,4006,2023,9,2024,1,11,จ.สมุทรปราการ,6.111817032,สมุทรปราการ
4006,4007,2023,9,2024,1,12,จ.นนทบุรี,0.120919325,นนทบุรี
4007,4008,2023,9,2024,1,13,จ.ปทุมธานี,2.355449523,ปทุมธานี
4008,4009,2023,9,2024,1,14,จ.พระนครศรีอยุธยา,16.02084506,พระนครศรีอยุธยา
4009,4010,2023,9,2024,1,15,จ.อ่างทอง,13.14105985,อ่างทอง
4010,4011,2023,9,2024,1,16,จ.ลพบุรี,12.14219755,ลพบุรี
4011,4012,2023,9,2024,1,17,จ.สิงห์บุรี,14.0022046,สิงห์บุรี
4012,4013,2023,9,2024,1,18,จ.ชัยนาท,11.14867458,ชัยนาท
4013,4014,2023,9,2024,1,19,จ.สระบุรี,18.27636919,สระบุรี
4018,4019,2023,9,2024,1,24,จ.ฉะเชิงเทรา,6.213241363,ฉะเชิงเทรา
4020,4021,2023,9,2024,1,26,จ.นครนายก,7.600452012,นครนายก
4059,4060,2023,9,2024,1,70,จ.ราชบุรี,0.05956602,ราชบุรี
4061,4062,2023,9,2024,1,72,จ.สุพรรณบุรี,3.095521729,สุพรรณบุรี
4062,4063,2023,9,2024,1,73,จ.นครปฐม,0.08294578,นครปฐม
4063,4064,2023,9,2024,1,74,จ.สมุทรสาคร,4.362060859,สมุทรสาคร
4064,4065,2023,9,2024,1,75,จ.สมุทรสงคราม,1.918898552,สมุทรสงคราม
4065,4066,2023,9,2024,1,76,จ.เพชรบุรี,0.709410277,เพชรบุรี
4081,4082,2023,9,2024,2,10,กรุงเทพมหานคร,41.63298701,กรุงเทพมหานคร
4082,4083,2023,9,2024,2,11,จ.สมุทรปราการ,35.14158832,สมุทรปราการ
4083,4084,2023,9,2024,2,12,จ.นนทบุรี,31.6387054,นนทบุรี
4084,4085,2023,9,2024,2,13,จ.ปทุมธานี,20.91241323,ปทุมธานี
4085,4086,2023,9,2024,2,14,จ.พระนครศรีอยุธยา,9.116901408,พระนครศรีอยุธยา
4086,4087,2023,9,2024,2,15,จ.อ่างทอง,2.132556109,อ่างทอง
4087,4088,2023,9,2024,2,16,จ.ลพบุรี,7.493970998,ลพบุรี
4088,4089,2023,9,2024,2,17,จ.สิงห์บุรี,0.624855907,สิงห์บุรี
4089,4090,2023,9,2024,2,18,จ.ชัยนาท,0.109453682,ชัยนาท
4090,4091,2023,9,2024,2,19,จ.สระบุรี,7.414686646,สระบุรี
4095,4096,2023,9,2024,2,24,จ.ฉะเชิงเทรา,26.48874567,ฉะเชิงเทรา
4097,4098,2023,9,2024,2,26,จ.นครนายก,8.617572542,นครนายก
4136,4137,2023,9,2024,2,70,จ.ราชบุรี,1.811080332,ราชบุรี
4138,4139,2023,9,2024,2,72,จ.สุพรรณบุรี,0.678213104,สุพรรณบุรี
4139,4140,2023,9,2024,2,73,จ.นครปฐม,14.24230298,นครปฐม
4140,4141,2023,9,2024,2,74,จ.สมุทรสาคร,32.32529733,สมุทรสาคร
4141,4142,2023,9,2024,2,75,จ.สมุทรสงคราม,7.243768127,สมุทรสงคราม
4142,4143,2023,9,2024,2,76,จ.เพชรบุรี,0.117664461,เพชรบุรี
